date,PID,session,condition,sex,age,colony,cohort,normal_weight,weight,food_consumed,depleted_A,depleted_B,depleted_high,depleted_low,status,visit_order,visit_order_noself,current_order,alternative_order,location,elevation,transition_self,visit_length,visit_latency,total_latency,travel_time,head_disp,head_speed,peck_count,peck_rate,IPI_entropy,IPI_rmssd,IPD_entropy,IPD_rmssd,travel_dist,travel_speed,cum_visit_length,cum_visits,cum_head_disp,cum_peck_count,cum_travel_dist,cum_travel_time,alt_cum_visit_length,alt_cum_visits,alt_cum_head_disp,alt_cum_peck_count,alt_cum_travel_dist,alt_cum_travel_time
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,1,1,1,1,0,platform B,0.0,0,22.98,19.17,19.17,19.17,3309.085521916422,7.355604776229706,10.0,0.4349717268377556,1.0608569471580214,1.863217050635212,0.936888307539016,108.10246339432514,4501.1008252206375,14.28614060004872,22.98,1,3309.085521916422,10.0,4501.1008252206375,19.17,0.0,0,0.0,0.0,0.0,0.0
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,1,2,1,2,0,platform B,0.0,1,34.5,29.25,48.42,6.27,4067.2752215761375,5.843776147444064,16.0,0.4636337293538105,0.6730116670092565,2.515302500031888,0.7201248812718097,139.86112202507536,1701.5541719070286,8.896213558742486,57.48,2,7376.36074349256,26.0,6202.654997127666,25.44,0.0,0,0.0,0.0,0.0,0.0
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,0,2,1,2,0,platform B,0.0,1,24.18015411175315,29.25,48.42,6.27,2845.737365304727,5.871332958847189,12.0,0.4960727573377428,0.6554817739013927,2.2941447208055554,0.3046360973492381,108.53675933379876,1701.5541719070286,8.896213558742486,103.93686751266324,5,20090.072996202987,41.0,5568.767915176233,20.39,0.0,0,0.0,0.0,0.0,0.0
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,1,3,1,3,0,platform B,0.0,1,24.6,38.52,86.94,4.02,3526.4372576547707,7.479881367244736,3.0,0.1219016659894351,0.0,4.430716646322579,0.6931471805599453,185.4557803627661,1013.6028469280976,4.874082272273793,82.08000000000001,3,10902.79800114733,29.0,7216.257844055764,29.46,0.0,0,0.0,0.0,0.0,0.0
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,0,3,1,3,0,platform B,0.0,1,12.461948646555886,38.52,86.94,4.02,1344.66011188731,6.373050075031864,3.0,0.2405773857257417,0.0,4.430716646322579,0.6931471805599453,185.4557803627661,1013.6028469280976,4.874082272273793,79.75671340091007,4,16022.79777462685,25.0,3867.2137432692048,14.12,0.0,0,0.0,0.0,0.0,0.0
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,1,4,1,4,0,platform B,0.0,1,7.35,25.75,112.69,1.15,1120.2375661283331,8.327052887838674,0.0,0.0,0.0,0.0,0.0,0.0,343.0874253319072,9.842290422994802,89.43,4,12023.035567275663,29.0,7559.345269387672,30.61,0.0,0,0.0,0.0,0.0,0.0
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,1,5,1,5,0,platform B,0.0,1,2.19,8.96,121.65,1.61,534.4595514217467,13.316738749706204,0.0,0.0,0.0,0.0,0.0,0.0,461.9732473995508,7.169859652252473,91.62,5,12557.49511869741,29.0,8021.3185167872225,32.22,0.0,0,0.0,0.0,0.0,0.0
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,1,6,2,1,5,platform A,0.0,0,69.55,5.87,127.52,3.68,6627.850818608587,4.965949474594493,21.0,0.3018976423231742,0.4227090878059908,3.621100661401171,1.0627375681569962,146.9629031924148,1173.3060461862424,8.381028968371792,69.55,1,6627.850818608587,21.0,1173.3060461862424,3.68,91.62,5,12557.49511869741,29.0,8021.3185167872225,32.22
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,0,6,2,1,5,platform A,0.0,0,51.71364060530733,5.87,127.52,3.68,4785.52533087888,4.821915405802649,17.0,0.3286929621036349,0.482577565177012,3.2460341187362776,0.7356219397587946,123.1366135368513,1173.3060461862424,8.381028968371792,86.28483385651552,3,11856.225478404622,34.0,3074.427932337498,10.41,91.62,5,12557.49511869741,29.0,8021.3185167872225,32.22
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,1,7,2,2,5,platform A,0.0,1,11.41,71.87,199.39,2.32,1271.9114671088969,5.998310486642299,1.0,0.0875656742556917,0.0,0.0,0.0,0.0,640.4883701131744,4.467332225851688,80.96,2,7899.762285717484,22.0,1813.7944162994168,6.0,91.62,5,12557.49511869741,29.0,8021.3185167872225,32.22
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,0,8,3,6,2,platform B,0.0,0,29.98284662423256,15.6,214.99,4.19,2857.01206327848,4.332374349477173,4.0,0.1333777925975325,0.0,7.17106221792374,0.6365141682948128,250.26681534722368,1117.0460134994498,4.378458484113115,29.98284662423256,1,4420.721962606753,7.0,1117.0460134994498,4.19,80.96,2,7899.762285717484,22.0,1813.7944162994168,6.0
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,1,8,3,6,2,platform B,0.0,0,44.44,15.6,214.99,4.19,4420.721962606753,4.679845401067323,7.0,0.1574803149606299,0.0,7.137312752943739,1.242453324894,200.33931121780745,1117.0460134994498,4.378458484113115,136.06,6,16978.217081304163,36.0,9138.364530286672,36.41,80.96,2,7899.762285717484,22.0,1813.7944162994168,6.0
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,1,9,4,3,6,platform A,0.0,0,33.27,47.71,262.7,3.27,3270.606564002004,5.5423907520172415,8.0,0.2403846153846154,0.0,4.402779965950084,1.078992207877583,226.55983017518656,919.1347659934324,3.073498077949727,114.23,3,11170.368849719487,30.0,2732.929182292849,9.27,136.06,6,16978.217081304163,36.0,9138.364530286672,36.41
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,0,9,4,3,6,platform A,0.0,0,23.020547237565445,47.71,262.7,3.27,1937.192301804788,5.004567681613514,5.0,0.2171081198436821,0.0,5.0159719895549655,0.6931471805599453,163.1003067155263,919.1347659934324,3.073498077949727,34.57119325120818,2,5228.374659796034,13.0,1901.121886151256,6.73,136.06,6,16978.217081304163,36.0,9138.364530286672,36.41
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,1,10,4,4,6,platform A,0.0,1,15.27,35.05,297.75,1.78,1959.0452556621965,6.700739496733053,5.0,0.3272251308900523,1.039720770839918,1.760184649404715,0.5623351446188083,161.32254617783775,443.2049625686188,4.738732871930051,129.5,4,13129.414105381684,35.0,3176.134144861468,11.05,136.06,6,16978.217081304163,36.0,9138.364530286672,36.41
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,0,11,5,7,4,platform B,0.0,0,12.097646769989044,18.23,315.98,2.96,1402.6354813179792,6.203795522317894,1.0,0.0825763831544178,0.0,0.0,0.0,0.0,878.1365259318834,2.8799460490103024,42.080493394221605,2,8427.809311583871,12.0,1995.1825394313328,7.15,129.5,4,13129.414105381684,35.0,3176.134144861468,11.05
20221019,P393,11,0-0,female,11,2,1,400,357.0,52,26,26,52,52,1,11,5,7,4,platform B,0.0,0,35.33,18.23,315.98,2.96,4007.087348977118,6.013601238537135,5.0,0.1414827391058291,0.0,5.335590407818052,1.039720770839918,236.16100109466248,878.1365259318834,2.8799460490103024,171.39,7,20985.30443028128,41.0,10016.501056218554,39.37,129.5,4,13129.414105381684,35.0,3176.134144861468,11.05
